date,spx,mar,hlt,hst,mgm,lvs,spxChange,marChange,hltChange,hstChange,mgmChange,lvsChange
"June 6, 2022","4,121.43",177.61,144.42,21.16,35.31,35.5,-0.137440510324101000000000000,0.075967771248561300000000000,-0.073933953190125100000000000,0.209834190966267000000000000,-0.216030195381883000000000000,-0.066280904786954300000000000
"June 7, 2022","4,160.68",177.18,143.82,21.16,35.49,35.83,-0.129226016818260000000000000,0.073362815775125800000000000,-0.077781340173132400000000000,0.209834190966267000000000000,-0.212033747779751000000000000,-0.057601262493424600000000000
"June 8, 2022","4,115.77",173.19,140.71,20.94,35.4,37.39,-0.138625071680612000000000000,0.049191252196038100000000000,-0.097723629368387200000000000,0.197255574614065000000000000,-0.214031971580817000000000000,-0.016570226196738600000000000
"June 9, 2022","4,017.82",167.65,135.8,19.91,34.32,35.29,-0.159124680314934000000000000,0.015629732840613100000000000,-0.129208079512664000000000000,0.138364779874214000000000000,-0.238010657193606000000000000,-0.071804313519200500000000000
"June 10, 2022","3,900.86",159.87,127.47,18.64,31.78,33.5,-0.183602824530047000000000000,-0.031501787120615400000000000,-0.182622635460083000000000000,0.065751858204688500000000000,-0.294404973357016000000000000,-0.118884797475013000000000000
"June 13, 2022","3,749.63",152.1,120.85,17.13,28.63,30.6,-0.215253215686439000000000000,-0.078572726721996700000000000,-0.225072138505931000000000000,-0.020583190394511100000000000,-0.364342806394316000000000000,-0.195160441872699000000000000
"June 14, 2022","3,735.48",152.22,119.14,17.18,29.4,32.27,-0.218214619077716000000000000,-0.077845762403828600000000000,-0.236037191407502000000000000,-0.017724413950829000000000000,-0.347246891651865000000000000,-0.151236191478169000000000000
"June 15, 2022","3,789.99",154.8,121.89,17.61,30.06,32.64,-0.206806414211388000000000000,-0.062216029563215500000000000,-0.218403334402052000000000000,0.006861063464837110000000000,-0.332593250444050000000000000,-0.141504471330879000000000000
"June 16, 2022","3,666.77",145.16,115.42,16.66,27.39,30.87,-0.232594691658260000000000000,-0.120615496456049000000000000,-0.259890990702148000000000000,-0.047455688965122800000000000,-0.391873889875666000000000000,-0.188058916359811000000000000
"June 17, 2022","3,674.84",145.23,116.28,16.2,27.95,31.67,-0.230905749936168000000000000,-0.120191433937118000000000000,-0.254376402693171000000000000,-0.073756432246998200000000000,-0.379440497335702000000000000,-0.167017359284587000000000000
"June 21, 2022","3,764.79",141.58,114.44,16.47,27.67,31.71,-0.212080432971826000000000000,-0.142303265281396000000000000,-0.266175056107727000000000000,-0.058319039451114900000000000,-0.385657193605684000000000000,-0.165965281430826000000000000
"June 22, 2022","3,759.89",136.46,112.02,15.7,27.33,31.6,-0.213105936619689000000000000,-0.173320409523232000000000000,-0.281692850272523000000000000,-0.102344196683819000000000000,-0.393206039076377000000000000,-0.168858495528669000000000000
"June 23, 2022","3,795.73",133.06,110.52,15.4,27.17,31.58,-0.205605109938177000000000000,-0.193917731871327000000000000,-0.291311317730042000000000000,-0.119496855345912000000000000,-0.396758436944938000000000000,-0.169384534455550000000000000
"June 24, 2022","3,911.74",139.39,116.71,16.09,30.24,33.43,-0.181325787858874000000000000,-0.155570364087963000000000000,-0.251619108688682000000000000,-0.080045740423098800000000000,-0.328596802841918000000000000,-0.120725933719095000000000000
"June 27, 2022","3,900.11",140.19,117.03,16.02,30.03,33.17,-0.183759789374108000000000000,-0.150723935300176000000000000,-0.249567168964412000000000000,-0.084048027444253800000000000,-0.333259325044405000000000000,-0.127564439768543000000000000
"June 28, 2022","3,821.55",138.69,115.28,16.13,29.88,34.51,-0.200201333573315000000000000,-0.159810989277276000000000000,-0.260788714331516000000000000,-0.077758719268153200000000000,-0.336589698046181000000000000,-0.092319831667543500000000000
"June 29, 2022","3,818.83",137.73,113.06,15.7,29.17,33.61,-0.200770592741109000000000000,-0.165626703822621000000000000,-0.275024046168644000000000000,-0.102344196683819000000000000,-0.352353463587922000000000000,-0.115991583377170000000000000
